,Accepted Symbol,Synonym Symbol,Scientific Name,Invasive,C:N Ratio,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Leaf Retention,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,"Frost Free Days, Minimum",Moisture Use,pH (Minimum),pH (Maximum),Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Palatable Browse Animal,Sheffields Aval
0,ABGR4,,Abelia ×grandiflora,,High,Rapid,6.0,6.0,Yes,None,Yes,Yes,150.0,Medium,5.7,7.0,28.0,60.0,12.0,Tolerant,-13.0,Routinely Available,No,Low,False
1,ABAM,,Abies amabilis,,High,Slow,20.0,165.0,Yes,None,Yes,Yes,90.0,Medium,3.3,6.0,38.0,260.0,36.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
2,ABBA,,Abies balsamea,,High,Slow,18.0,60.0,Yes,None,Yes,Yes,80.0,Medium,4.0,6.0,13.0,60.0,20.0,Tolerant,-43.0,Routinely Available,Yes,Medium,True
3,ABCO,,Abies concolor,,High,Slow,20.0,120.0,Yes,None,Yes,Yes,80.0,Medium,5.5,7.8,18.0,80.0,40.0,Intermediate,-38.0,Routinely Available,Yes,Low,True
4,ABFR,,Abies fraseri,,High,Moderate,20.0,55.0,Yes,None,Yes,Yes,90.0,Medium,3.5,5.5,45.0,100.0,6.0,Tolerant,-23.0,Routinely Available,Yes,Low,True
5,ABLA,,Abies lasiocarpa,,High,Slow,15.0,90.0,Yes,None,Yes,Yes,120.0,Medium,4.0,6.5,20.0,150.0,40.0,Tolerant,-51.0,Routinely Available,Yes,Low,True
6,ACKO,,Acacia koa,,Low,Moderate,100.0,110.0,Yes,High,Yes,Yes,365.0,Medium,5.0,7.0,50.0,200.0,30.0,Intolerant,31.0,Routinely Available,Yes,High,False
7,ACLO,,Acacia longifolia,,High,Rapid,20.0,20.0,Yes,Medium,Yes,Yes,180.0,Medium,6.0,8.3,16.0,40.0,24.0,Intolerant,14.0,Routinely Available,Yes,Low,False
8,ACGI,,Acer ginnala,WI,High,Rapid,15.0,20.0,No,None,Yes,Yes,130.0,Medium,6.1,7.5,30.0,60.0,24.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
9,ACGL,,Acer glabrum,,High,Rapid,15.0,30.0,No,None,Yes,Yes,180.0,Low,5.8,7.5,9.0,60.0,24.0,Intermediate,-43.0,Routinely Available,Yes,Medium,True
10,ACGR3,,Acer grandidentatum,,High,Moderate,20.0,38.0,No,None,Yes,Yes,100.0,Medium,6.0,8.0,16.0,30.0,24.0,Intermediate,-31.0,Routinely Available,Yes,Low,False
11,ACNE2,,Acer negundo,N'EAST,High,Rapid,35.0,60.0,No,None,Yes,Yes,100.0,Medium,5.0,7.8,15.0,75.0,40.0,Tolerant,-46.0,Routinely Available,Yes,Low,False
12,ACPL,,Acer platanoides,"N'EAST, WI",High,Rapid,25.0,50.0,No,None,No,Yes,130.0,Medium,4.8,7.2,32.0,50.0,40.0,Intermediate,-28.0,Routinely Available,Yes,Low,True
13,ACRU,,Acer rubrum,N'EAST,High,Rapid,35.0,68.0,No,None,Yes,Yes,80.0,High,4.7,7.3,25.0,80.0,30.0,Intermediate,-47.0,Routinely Available,Yes,Medium,True
14,ACSA2,,Acer saccharinum,,High,Rapid,45.0,90.0,No,None,Yes,Yes,120.0,Medium,4.0,7.3,20.0,70.0,32.0,Intermediate,-47.0,Routinely Available,Yes,Low,False
15,ACSA3,,Acer saccharum,,High,Slow,20.0,100.0,No,None,Yes,Yes,80.0,Medium,3.7,7.9,22.0,80.0,40.0,Tolerant,-47.0,Routinely Available,Yes,Medium,True
16,ACMI2,,Achillea millefolium,"KY, N'EAST, NE&GP, SWSS",Medium,Moderate,,3.0,No,None,No,Yes,120.0,Medium,6.0,8.0,8.0,60.0,8.0,Intermediate,-38.0,Routinely Available,Yes,Medium,True
17,ACMIO,,Achillea millefolium var. occidentalis,,Medium,Moderate,,3.0,No,None,Yes,Yes,100.0,Medium,6.0,8.0,8.0,26.0,8.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
18,ACHY,,Achnatherum hymenoides,,Medium,Moderate,,2.0,No,None,Yes,Yes,90.0,Low,6.6,8.6,6.0,16.0,18.0,Intolerant,-43.0,Routinely Available,Yes,High,False
19,ACCO4,,Aconitum columbianum,,Medium,Moderate,,5.0,No,None,Yes,Yes,110.0,High,5.4,7.2,12.0,50.0,10.0,Intermediate,-28.0,Routinely Available,Yes,Low,False
20,ACAM,,Acorus americanus,,,Moderate,,3.9,No,None,No,Yes,120.0,High,5.6,7.2,16.0,65.0,10.0,Intolerant,-38.0,Routinely Available,No,,False
21,ACCA4,,Acorus calamus,,High,Moderate,,5.0,No,None,Yes,Yes,90.0,High,5.2,7.2,32.0,60.0,12.0,Intolerant,-38.0,Routinely Available,No,Low,False
22,ADCA,,Adiantum capillus-veneris,,,Moderate,,1.7,No,None,No,Yes,120.0,High,6.0,8.0,10.0,60.0,2.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
23,AEGL,,Aesculus glabra,,High,Rapid,25.0,68.0,No,None,No,Yes,145.0,Medium,5.0,7.1,30.0,60.0,36.0,Tolerant,-33.0,Routinely Available,Yes,Low,True
24,AGDE2,,Agropyron desertorum,,Medium,Moderate,,2.0,No,None,No,Yes,90.0,Medium,6.0,8.5,6.0,16.0,10.0,Intolerant,-43.0,Routinely Available,Yes,Low,False
25,AGFR,,Agropyron fragile,,Medium,Rapid,,3.0,No,None,Yes,Yes,90.0,Low,5.6,9.0,6.0,25.0,10.0,Intolerant,-43.0,Routinely Available,Yes,Medium,False
26,AGCA4,,Agrostis canina,,Low,Moderate,,1.5,No,None,Yes,Yes,90.0,High,5.0,7.5,30.0,60.0,10.0,Intolerant,-33.0,Routinely Available,Yes,Low,False
27,AGCA5,,Agrostis capillaris,,Low,Rapid,,2.0,No,None,Yes,Yes,120.0,High,4.9,7.5,32.0,60.0,12.0,Intolerant,-53.0,Routinely Available,Yes,Low,False
28,AGGI2,,Agrostis gigantea,,Medium,Rapid,,2.0,No,None,No,Yes,90.0,Medium,4.5,8.0,28.0,60.0,14.0,Intolerant,-38.0,Routinely Available,Yes,High,False
29,AGHY,,Agrostis hyemalis,,Low,Moderate,,3.5,No,None,No,Yes,130.0,High,5.0,7.5,20.0,45.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
30,AGST2,,Agrostis stolonifera,"NE&GP, WSWS",Medium,Rapid,,2.0,No,None,No,Yes,110.0,High,5.1,7.5,32.0,60.0,12.0,Intolerant,-53.0,Routinely Available,Yes,Low,False
31,AIAL,,Ailanthus altissima,"Cal-IPC, SEEPPC, STATE, WI",Medium,Rapid,50.0,55.0,No,None,Yes,Yes,150.0,Medium,4.1,7.9,14.0,90.0,30.0,Intolerant,-18.0,Routinely Available,Yes,Medium,True
32,AJRE,,Ajuga reptans,,Medium,Rapid,,0.3,No,None,No,Yes,160.0,High,5.5,7.5,35.0,65.0,10.0,Tolerant,-23.0,Routinely Available,No,Low,False
33,ALJU,,Albizia julibrissin,"FLEPPC, SEEPPC",Low,Rapid,20.0,20.0,No,Medium,Yes,Yes,200.0,Medium,4.8,7.3,30.0,60.0,30.0,Intolerant,2.0,Routinely Available,Yes,Low,True
34,ALMO,,Aleurites moluccanus,,,,,,,,,,,,,,,,,,,,,,False
35,ALMO,ALMO2,Aleurites moluccana,,High,Moderate,50.0,50.0,Yes,None,Yes,Yes,365.0,Medium,5.5,7.0,40.0,200.0,36.0,Intermediate,49.0,Routinely Available,Yes,,False
36,ALPL,,Alisma plantago-aquatica,,,Moderate,,3.0,No,None,No,No,110.0,High,6.3,7.5,20.0,65.0,16.0,Intolerant,-33.0,Routinely Available,Yes,Medium,False
37,ALSU,,Alisma subcordatum,,Medium,Moderate,,0.5,No,None,No,Yes,90.0,High,5.0,7.0,35.0,60.0,8.0,Intolerant,-33.0,Routinely Available,Yes,,False
38,ALGL2,,Alnus glutinosa,"SEEPPC, WI",Low,Rapid,40.0,45.0,No,High,Yes,Yes,130.0,Medium,4.4,7.2,20.0,65.0,16.0,Intermediate,-18.0,Routinely Available,Yes,Low,True
39,ALIN2,,Alnus incana,,High,Rapid,15.0,25.0,No,Medium,Yes,Yes,100.0,High,5.0,7.0,32.0,60.0,24.0,Intermediate,-33.0,Routinely Available,Yes,Medium,True
40,ALINR,,Alnus incana ssp. rugosa,,High,Moderate,16.0,16.0,No,Low,No,Yes,80.0,Medium,4.8,7.7,21.0,65.0,24.0,Intermediate,-47.0,Routinely Available,Yes,Low,False
41,ALINT,,Alnus incana ssp. tenuifolia,,High,Rapid,20.0,20.0,No,Medium,Yes,Yes,130.0,High,5.5,7.0,10.0,20.0,18.0,Intermediate,-62.0,Routinely Available,Yes,Low,False
42,ALMA7,,Alnus maritima,,Medium,Moderate,20.0,30.0,No,Medium,Yes,Yes,185.0,High,5.0,7.0,36.0,50.0,20.0,Intermediate,2.0,Routinely Available,Yes,Medium,False
43,ALRH2,,Alnus rhombifolia,,High,Rapid,50.0,65.0,No,Low,Yes,Yes,200.0,High,4.8,7.5,20.0,125.0,12.0,Tolerant,-24.0,Routinely Available,Yes,Low,True
44,ALRU2,,Alnus rubra,,High,Rapid,50.0,90.0,No,High,Yes,Yes,180.0,High,4.3,7.3,24.0,220.0,25.0,Intolerant,-22.0,Routinely Available,Yes,Medium,True
45,ALSE2,,Alnus serrulata,,High,Rapid,12.0,30.0,No,Medium,Yes,Yes,120.0,High,5.0,7.0,32.0,60.0,24.0,Intolerant,-23.0,Routinely Available,Yes,Medium,True
46,ALVIC,,Alnus viridis ssp. crispa,,High,Moderate,10.0,10.0,No,Low,Yes,Yes,80.0,High,4.8,7.0,12.0,60.0,20.0,Intermediate,-62.0,Routinely Available,Yes,Low,False
47,ALVIS,,Alnus viridis ssp. sinuata,,High,Slow,10.0,16.0,No,Low,Yes,Yes,90.0,High,5.0,7.5,16.0,200.0,10.0,Intermediate,-48.0,Routinely Available,Yes,Low,False
48,ALAR,,Alopecurus arundinaceus,,High,Rapid,,3.0,No,None,No,Yes,30.0,Medium,5.5,8.4,18.0,70.0,12.0,Intolerant,-43.0,Routinely Available,Yes,High,True
49,ALGE2,,Alopecurus geniculatus,,,Moderate,,2.0,No,None,Yes,Yes,100.0,High,4.0,7.5,20.0,45.0,12.0,Intolerant,-43.0,Routinely Available,Yes,Medium,False
50,ALPR3,,Alopecurus pratensis,,Medium,Rapid,,3.0,No,None,No,Yes,90.0,High,5.8,8.0,18.0,60.0,12.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
51,AMAL2,,Amelanchier alnifolia,,Medium,Moderate,15.0,15.0,No,None,Yes,Yes,100.0,Medium,4.8,8.4,12.0,140.0,24.0,Intermediate,-62.0,Routinely Available,Yes,Medium,True
52,AMCA4,,Amelanchier canadensis,,Medium,Moderate,20.0,23.0,No,None,Yes,Yes,110.0,Medium,5.5,7.5,30.0,60.0,20.0,Intermediate,-33.0,Routinely Available,Yes,High,True
53,AMUT,,Amelanchier utahensis,,Medium,Rapid,10.0,15.0,No,None,Yes,Yes,110.0,Medium,5.6,8.4,12.0,45.0,24.0,Intermediate,-28.0,Routinely Available,Yes,High,False
54,AMAR4,,Ammophila arenaria,Cal-IPC,Low,Moderate,,2.0,No,None,Yes,Yes,175.0,Medium,6.0,8.5,30.0,60.0,20.0,Intolerant,7.0,Routinely Available,No,Medium,False
55,AMBR,,Ammophila breviligulata,,High,Rapid,,2.5,Yes,None,Yes,Yes,130.0,Medium,5.8,7.8,35.0,60.0,20.0,Intolerant,-28.0,Routinely Available,No,Medium,False
56,AMCA6,,Amorpha canescens,,Medium,Moderate,4.0,4.0,No,Medium,Yes,Yes,100.0,Low,5.5,8.0,20.0,45.0,20.0,Tolerant,-38.0,Routinely Available,Yes,High,True
57,AMFR,,Amorpha fruticosa,STATE,High,Slow,6.0,15.0,No,Medium,Yes,Yes,100.0,Low,5.0,8.5,10.0,65.0,24.0,Intolerant,-38.0,Routinely Available,Yes,Low,True
58,ANCO30,,Ananas comosus,,Medium,Slow,,3.0,No,None,Yes,Yes,365.0,Medium,4.0,6.0,30.0,80.0,24.0,Tolerant,32.0,Routinely Available,No,,False
59,ANIN,,Andira inermis,,High,Rapid,120.0,90.0,Yes,Medium,Yes,Yes,365.0,Low,,,98.0,256.0,36.0,Intolerant,32.0,Routinely Available,Yes,Low,False
