"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"ABGR4","","Abelia ×grandiflora","","High","Rapid","6","6.0","Yes","None","Yes","Yes","150","Medium","5.7","7.0","28","60","12","Tolerant","-13","Routinely Available","No","Low"
"ABAM","","Abies amabilis","","High","Slow","20","165","Yes","None","Yes","Yes","90","Medium","3.3","6.0","38","260","36","Tolerant","-28","Routinely Available","Yes","Low"
"ABBA","","Abies balsamea","","High","Slow","18","60","Yes","None","Yes","Yes","80","Medium","4.0","6.0","13","60","20","Tolerant","-43","Routinely Available","Yes","Medium"
"ABCO","","Abies concolor","","High","Slow","20","120","Yes","None","Yes","Yes","80","Medium","5.5","7.8","18","80","40","Intermediate","-38","Routinely Available","Yes","Low"
"ABFR","","Abies fraseri","","High","Moderate","20","55","Yes","None","Yes","Yes","90","Medium","3.5","5.5","45","100","6","Tolerant","-23","Routinely Available","Yes","Low"
"ABLA","","Abies lasiocarpa","","High","Slow","15","90","Yes","None","Yes","Yes","120","Medium","4.0","6.5","20","150","40","Tolerant","-51","Routinely Available","Yes","Low"
"ACKO","","Acacia koa","","Low","Moderate","100","110","Yes","High","Yes","Yes","365","Medium","5.0","7.0","50","200","30","Intolerant","31","Routinely Available","Yes","High"
"ACLO","","Acacia longifolia","","High","Rapid","20","20","Yes","Medium","Yes","Yes","180","Medium","6.0","8.3","16","40","24","Intolerant","14","Routinely Available","Yes","Low"
"ACGI","","Acer ginnala","WI","High","Rapid","15","20","No","None","Yes","Yes","130","Medium","6.1","7.5","30","60","24","Intermediate","-38","Routinely Available","Yes","Low"
"ACGL","","Acer glabrum","","High","Rapid","15","30","No","None","Yes","Yes","180","Low","5.8","7.5","9","60","24","Intermediate","-43","Routinely Available","Yes","Medium"
"ACGR3","","Acer grandidentatum","","High","Moderate","20","38","No","None","Yes","Yes","100","Medium","6.0","8.0","16","30","24","Intermediate","-31","Routinely Available","Yes","Low"
"ACNE2","","Acer negundo","N'EAST","High","Rapid","35","60","No","None","Yes","Yes","100","Medium","5.0","7.8","15","75","40","Tolerant","-46","Routinely Available","Yes","Low"
"ACPL","","Acer platanoides","N'EAST, WI","High","Rapid","25","50","No","None","No","Yes","130","Medium","4.8","7.2","32","50","40","Intermediate","-28","Routinely Available","Yes","Low"
"ACRU","","Acer rubrum","N'EAST","High","Rapid","35","68","No","None","Yes","Yes","80","High","4.7","7.3","25","80","30","Intermediate","-47","Routinely Available","Yes","Medium"
"ACSA2","","Acer saccharinum","","High","Rapid","45","90","No","None","Yes","Yes","120","Medium","4.0","7.3","20","70","32","Intermediate","-47","Routinely Available","Yes","Low"
"ACSA3","","Acer saccharum","","High","Slow","20","100","No","None","Yes","Yes","80","Medium","3.7","7.9","22","80","40","Tolerant","-47","Routinely Available","Yes","Medium"
