,Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential,Sheffields Aval
0,ABELI,,Abelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,ABGR4,,Abelia ×grandiflora,Shrub,,None,High,No,Rapid,6.0,6.0,Moderate,None,Yes,Yes,No,Medium,5.7,7.0,1700.0,28.0,60.0,12.0,Tolerant,-13.0,Routinely Available,No,No,Low,,Low,False
2,ABELM,,Abelmoschus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3,ABES,,Abelmoschus esculentus,"Subshrub, Forb/herb",SWSS,,,,,,,,,,,,,,,,,,,,,,,,,,,False
4,ABMA9,,Abelmoschus manihot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5,ABMO,,Abelmoschus moschatus,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,False
6,ABIES,,Abies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7,ABAL3,,Abies alba,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
8,ABAM,,Abies amabilis,Tree,,None,High,No,Slow,20.0,165.0,Long,None,Yes,Yes,Yes,Medium,3.3,6.0,700.0,38.0,260.0,36.0,Tolerant,-28.0,Routinely Available,Yes,No,Low,,,False
9,ABBA,,Abies balsamea,Tree,,None,High,No,Slow,18.0,60.0,Short,None,Yes,Yes,Yes,Medium,4.0,6.0,1200.0,13.0,60.0,20.0,Tolerant,-43.0,Routinely Available,Yes,No,Medium,,Low,True
10,ABBAB,,Abies balsamea var. balsamea,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
11,ABBAP,,Abies balsamea var. phanerolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
12,ABBR,,Abies bracteata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13,ABCO,,Abies concolor,Tree,,None,High,No,Slow,20.0,120.0,Long,None,Yes,Yes,No,Medium,5.5,7.8,1200.0,18.0,80.0,40.0,Intermediate,-38.0,Routinely Available,Yes,No,Low,,Low,True
14,ABFI,,Abies firma,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15,ABFR,,Abies fraseri,Tree,,None,High,No,Moderate,20.0,55.0,Moderate,None,Yes,Yes,No,Medium,3.5,5.5,1200.0,45.0,100.0,6.0,Tolerant,-23.0,Routinely Available,Yes,No,Low,,Low,True
16,ABGR,,Abies grandis,Tree,,None,High,No,Moderate,25.0,150.0,Long,None,Yes,Yes,No,Medium,4.5,7.5,1200.0,11.0,100.0,20.0,Tolerant,-33.0,Field Collections Only,Yes,No,Low,,Low,True
17,ABGU,,Abies guatemalensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
18,ABHO,,Abies homolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
19,ABLA,,Abies lasiocarpa,Tree,,None,High,No,Slow,15.0,90.0,Long,None,Yes,Yes,No,Medium,4.0,6.5,1200.0,20.0,150.0,40.0,Tolerant,-51.0,Routinely Available,Yes,No,Low,,Low,True
20,ABLAA,,Abies lasiocarpa var. arizonica,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
21,ABLAL,,Abies lasiocarpa var. lasiocarpa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
22,ABLO,,Abies lowiana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
