"Accepted Symbol","Synonym Symbol","Scientific Name","Federal Noxious Status","State Noxious Status","Invasive","C:N Ratio","Foliage Texture","Growth Rate","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Palatable Browse Animal","Palatable Graze Animal"
"ABMA","","Abies magnifica","","","","High","Medium","Slow","150","Yes","None","Yes","Yes","90","Medium","33","64","20","Tolerant","-23","Low","Low"
"ABMAS","","Abies magnifica var. shastensis","","","","","","","","","","","","","","","","","","","",""
"ABMAS","ABSH","Abies ×shastensis","","","","High","Medium","Slow","180","Yes","None","Yes","Yes","90","Medium","30","60","20","Intermediate","-23","Low","Low"
"ABPR","","Abies procera","","","","High","Medium","Rapid","230","Yes","None","Yes","Yes","50","Low","64","120","20","Intermediate","-23","Low","Low"
"ACGI","","Acer ginnala","","CT (PINB)","WI","High","Medium","Rapid","20","No","None","Yes","Yes","130","Medium","30","60","24","Intermediate","-38","Low","Low"
"ACNE2","","Acer negundo","","","N'EAST","High","Coarse","Rapid","60","No","None","Yes","Yes","100","Medium","15","75","40","Tolerant","-46","Low","Low"
"ACSA2","","Acer saccharinum","","","","High","Medium","Rapid","90","No","None","Yes","Yes","120","Medium","20","70","32","Intermediate","-47","Low","Low"
"ACMIO","","Achillea millefolium var. occidentalis","","","","Medium","Fine","Moderate","3.0","No","None","Yes","Yes","100","Medium","8","26","8","Intermediate","-38","Low","Low"
"ACCO4","","Aconitum columbianum","","","","Medium","Medium","Moderate","5.0","No","None","Yes","Yes","110","High","12","50","10","Intermediate","-28","Low","Low"
"ACCA4","","Acorus calamus","","","","High","Coarse","Moderate","5.0","No","None","Yes","Yes","90","High","32","60","12","Intolerant","-38","Low","Low"
"AEPA","","Aesculus pavia","","","","High","Coarse","Moderate","25","No","None","Yes","Yes","180","High","36","65","20","Tolerant","-20","Low","Low"
"AGPA2","","Agastache parvifolia","","","","Medium","Coarse","Moderate","2.0","No","None","Yes","Yes","130","Low","12","65","12","Intolerant","-23","Low","Low"
"AGUT","","Agave utahensis","","","","High","Coarse","Moderate","1.0","Yes","None","Yes","Yes","120","Low","5","24","6","Intolerant","-23","Low","Low"
"AGGR","","Agoseris grandiflora","","","","Medium","Coarse","Moderate","1.8","No","None","Yes","Yes","120","Medium","12","20","8","Intolerant","-13","Low","Low"
"AGGR2","","Agrimonia gryposepala","","","","","Medium","Moderate","5.9","No","None","Yes","Yes","120","Medium","15","55","6","Intermediate","-43","Low","Low"
"AGPA6","","Agrimonia parviflora","","","","Low","Medium","Rapid","6.0","No","None","Yes","Yes","160","High","24","50","6","Intermediate","-33","Low","Low"
"AGRO3","","Agrimonia rostellata","","","","","Medium","Moderate","2.3","No","None","Yes","Yes","120","Medium","35","50","6","Intermediate","-33","Low","Low"
"AGST","","Agrimonia striata","","","","Medium","Medium","Moderate","6.0","No","None","Yes","Yes","140","Medium","8","45","12","Tolerant","-43","Low","Low"
"ALGL2","","Alnus glutinosa","","","SEEPPC, WI","Low","Medium","Rapid","45","No","High","Yes","Yes","130","Medium","20","65","16","Intermediate","-18","Low","Low"
"ALINT","","Alnus incana ssp. tenuifolia","","","","High","Medium","Rapid","20","No","Medium","Yes","Yes","130","High","10","20","18","Intermediate","-62","Low","Low"
"ALRH2","","Alnus rhombifolia","","","","High","Medium","Rapid","65","No","Low","Yes","Yes","200","High","20","125","12","Tolerant","-24","Low","Low"
"ALVIC","","Alnus viridis ssp. crispa","","","","High","Medium","Moderate","10","No","Low","Yes","Yes","80","High","12","60","20","Intermediate","-62","Low","Low"
"ALVIS","","Alnus viridis ssp. sinuata","","","","High","Medium","Slow","16","No","Low","Yes","Yes","90","High","16","200","10","Intermediate","-48","Low","Low"
"AMDU2","","Ambrosia dumosa","","","","","Medium","Rapid","2.0","No","None","Yes","Yes","250","Low","4","11","12","Intolerant","-11","Low","Low"
"AMAR3","","Amelanchier arborea","","","","Medium","Fine","Slow","36","No","None","Yes","Yes","120","Medium","26","80","20","Tolerant","-47","Low","Low"
"AMFR","","Amorpha fruticosa","","CT (PIB), WA (CBW, NWSPQ)","STATE","High","Coarse","Slow","15","No","Medium","Yes","Yes","100","Low","10","65","24","Intolerant","-38","Low","Low"
"ANMU","","Anemone multifida","","","","Low","Coarse","Rapid","2.0","No","None","Yes","Yes","120","Medium","40","60","6","Tolerant","-23","Low","Low"
"ANDI2","","Antennaria dimorpha","","","","Medium","Fine","Slow","0.3","No","None","Yes","Yes","120","Low","12","40","14","Intermediate","-38","Low","Low"
"APCA","","Apocynum cannabinum","","","KY, NE&GP, SWSS, WSWS","","Medium","Moderate","3.3","No","None","Yes","Yes","100","High","15","60","12","Intermediate","-43","Low","Low"
"AQCO","","Aquilegia coerulea","","","","","","","","","","","","","","","","","","","",""
"AQCO","AQCA2","Aquilegia caerulea","","","","Medium","Fine","Moderate","2.0","No","None","Yes","Yes","130","Medium","12","40","10","Tolerant","-28","Low","Low"
"ARDI2","","Arabis ×divaricarpa","","","","Medium","Coarse","Rapid","3.0","No","None","Yes","Yes","80","Low","28","50","8","Tolerant","-28","Low","Low"
"ARNU2","","Aralia nudicaulis","","","","Medium","Coarse","Moderate","1.5","No","None","Yes","Yes","85","Medium","32","50","10","Tolerant","-38","Low","Low"
"ARSP2","","Aralia spinosa","","","","High","Coarse","Moderate","20","No","None","Yes","Yes","160","High","35","80","30","Intolerant","-25","Low","Low"
"ARLA2","","Arctagrostis latifolia","","","","Medium","Medium","Slow","1.8","No","None","Yes","Yes","90","High","30","60","24","Intolerant","-38","Low","Low"
"ARMA","","Arctostaphylos manzanita","","","","High","Coarse","Slow","8.0","Yes","None","Yes","Yes","120","Low","14","60","20","Intermediate","-23","Low","Low"
"ARNE","","Arctostaphylos nevadensis","","","","High","Coarse","Slow","2.0","Yes","None","Yes","Yes","180","Low","16","80","30","Tolerant","-13","Low","Low"
"ARPA6","","Arctostaphylos patula","","","","High","Coarse","Slow","6.0","Yes","None","Yes","Yes","120","Medium","13","60","20","Intermediate","-28","Low","Low"
"ARUV","","Arctostaphylos uva-ursi","","","","High","Coarse","Moderate","0.5","Yes","None","Yes","Yes","140","Low","14","45","10","Intermediate","-33","Low","Low"
"ARPO2","","Argemone polyanthemos","","","NE&GP, WSWS","High","Coarse","Rapid","3.0","No","None","Yes","Yes","140","Low","10","15","6","Intolerant","-23","Low","Low"
"ARTR","","Arisaema triphyllum","","","","High","Coarse","Moderate","1.5","No","None","Yes","Yes","175","High","34","50","8","Tolerant","-18","Low","Low"
"ARMA6","","Armeria maritima","","","","High","Fine","Moderate","0.9","Yes","None","Yes","Yes","110","Medium","32","60","10","Intolerant","-28","Low","Low"
"ARAM2","","Arnica amplexicaulis","","","","Medium","Medium","Moderate","2.5","No","None","Yes","Yes","100","High","20","40","6","Tolerant","-23","Low","Low"
"ARCH3","","Arnica chamissonis","","","","Medium","Medium","Moderate","2.5","No","None","Yes","Yes","90","High","14","24","8","Intermediate","-33","Low","Low"
